California Department of Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private School Directory 2009-10 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"February 1, 2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Enrollment,Enrollment,,,,,,,Site,Site,Site,Site,,,,,High,Number of,,,,,,,,,,,Special,Custodian,Custodian,Custodian,Custodian,Custodian,Custodian,Custodian,Custodian
74727,Alameda,St. Michael Elementary,Livermore Valley Joint Unified,01612006967525,925,447,1888,345 Church Street ,Livermore,CA,94550-3236,stmichaelschool@smsliv.org,23,20,31,29,26,33,34,34,37,0,0,0,0,0,0,267, ,,,,,Sr.,M. Emmanuel,"Cardinale, OP",Principal,Coeducational,Day Only,K,8,No,0,13,2,1,6,Yes,No,No,No,Religious,CATH,No,Sr.,M. Emmanuel,"Cardinale, OP",345 Church Street ,Livermore,CA,94550,stmichaelschool@smsliv.org
73312,Alameda,St. Paul's Episcopal,Oakland Unified,01612596960694,510,285,9600,116 Montecito Avenue,Oakland,CA,94610,,44,38,27,44,36,35,43,43,41,0,0,0,0,0,0,351, ,,,,,Ms.,Karan,Merry,Head of School,Coeducational,Day Only,K,8,No,0,40,7,7,22,Yes,Yes,Yes,No,Religious,EPIS,No,Mr.,Robert,Correia,116 Montecito Avenue,Oakland,CA,94610,rcorreia@spes.org
72788,Alameda,St. Philip Lutheran,Dublin Unified,01750936959878,925,829,3857,8850 Davona Drive,Dublin,CA,94568,fbrauer@stphilipchurch.com,12,18,5,8,5,7,7,3,1,0,0,0,0,0,0,66, ,,,,,Mr.,Frederick,Brauer,Principal,Coeducational,Day Only,K,8,No,0,4,2,1,4,Yes,Yes,Yes,No,Religious,LUTH,No,Mrs.,Erika,Hidley,8850 Davona Drive,Dublin,CA,94568,ehidley@stphilipchurch.com
81093,Alameda,St. Philip Neri Elementary,Alameda City Unified,01611196973077,510,521,0787,1335 High Street,Alameda,CA,94501,,29,27,26,27,25,25,29,24,32,0,0,0,0,0,0,244, ,,,,,Mrs.,Vikki,Wojcik,Principal,Coeducational,Day Only,K,8,No,0,10,6,1,15,Yes,No,No,No,Religious,CATH,No,Mrs.,Myra,Keast,1335 High Street,Alameda,CA,94501,mkeast@csdo.org
73334,Alameda,St. Raymond,Dublin Unified,01750937012222,925,828,4064,11557 Shannon Avenue,Dublin,CA,94568,msnyder@csdo.org,33,36,34,34,35,32,26,27,30,0,0,0,0,0,0,287, ,,,,,Mrs.,Madeleine,de la Fontaine,Principal,Coeducational,Day Only,K,8,No,0,14,1,1,19,Yes,No,No,No,Religious,CATH,No,Mrs.,Sandy,Cramer,11557 Shannon Avenue,Dublin,CA,94568,scramer@csdo.org
82619,Alameda,St. Theresa School,Oakland Unified,01612596967533,510,547,3146,4850 Clarewood ,Oakland,CA,94618,sttheresaschool.org,30,36,29,34,30,35,28,29,30,0,0,0,0,0,0,281, ,,,,,Mrs.,Judith A.,KoneffKlatt,Principal,Coeducational,Day Only,K,8,No,0,20,10,1,1,Yes,No,No,No,Religious,CATH,No,Ms.,Vera,Young,4850 Clarewood Drive,Oakland,CA,94618,v_young@sttheresaschool.org
73598,Alameda,Starlite School,Oakland Unified,01612596203814,510,238,8809,246 14th Street,Oakland,CA,94612,,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19, ,,,,,Ms.,Margarida,Wong,Administrator,Coeducational,Day Only,K,K,No,0,2,0,1,0,No,No,No,Yes,Non-religious,,No,Mr.,John,Wong,246 14th Street,Oakland,CA,94612,
84274,Alameda,STARS High ,San Leandro Unified,01612916201172,510,352,9200,545 Estudillo Avenue,San Leandro,CA,94577,cschimke@starsinc.com,0,0,0,0,0,0,0,0,0,5,10,5,5,0,0,25, ,,,,,Ms.,Sandra  ,Simmons ,Administrator,Coeducational,Day Only,8,12,No,5,3,0,1,7,No,No,No,Yes,Non-religious,,Yes,Ms.,Paschelle,White,545 Estudillo Avenue,San Leandro,CA,94577,
74906,Alameda,Stellar Academy for Dyslexics,Newark Unified,01612347045446,510,797,2227,38325 Cedar Boulevard,Newark,CA,94560,stellaracademy@aol.com,0,0,0,2,0,3,9,3,6,0,0,0,0,0,0,23, ,,,,,Mrs.,Judy,Taber,Director,Coeducational,Day Only,2,8,No,0,2,0,1,5,Yes,No,Yes,No,Non-religious,,Yes,Mrs.,Marlene,Castillo,38325 Cedar Boulevard,Newark,CA,94560,stellaracademy@aol.com
77080,Alameda,Stratford School,Fremont Unified,01611766206023,510,438,9745,5301 Curtis Street,Fremont,CA,94538,etariverdi@stratfordschools.com,70,50,46,33,42,13,9,0,0,0,0,0,0,0,0,263, ,,,,,Mrs.,Ellie,Tariverdi,Principal,Coeducational,Day Only,K,6,No,0,25,10,4,11,No,No,No,Yes,Non-religious,,No,Mrs.,Michelle,Shah,5301 Curtis Street,Fremont,CA,94538,mshah@stratfordschools.com
83829,Alameda,Sunset Christian School,Livermore Valley Joint Unified,01612007103823,925,243,0972,2200 Arroyo Road,Livermore,CA,94550,aanderson@sunsetcc.org,10,10,2,7,0,0,0,0,0,0,0,0,0,0,0,29, ,,,,,Mrs.,Andrea,Anderson,Administrator,Coeducational,Day Only,K,3,No,0,2,1,1,1,Yes,No,No,No,Religious,AG,No,Mrs.,Renae,Hayes,2200 Arroyo Road,Livermore,CA,94550,rhayes@sunsetcs.org
84029,Alameda,The Berkeley School,Berkeley Unified,01611436967442,510,665,8800,1310 University Avenue,Berkeley,CA,94702,zroberts@theberkeleyschool.org,17,23,27,17,22,23,20,30,19,0,0,0,0,0,0,198, ,,,,Berkeley Montessori School,Mr.,Zachary,Roberts,Other,Coeducational,Day Only,K,8,No,0,23,8,10,1,Yes,No,Yes,No,Non-religious,,No,Ms.,Cindy,Schaub,1310 University Avenue,Berkeley,CA,94702,cschaub@theberkeleyschool.org
77202,Alameda,Tilden Preparatory School,Albany Unified,01611276138044,510,525,5506,1231 Solano Avenue,Albany,CA,94706,1karenhobbs@gmail.com,0,0,0,0,0,0,2,0,0,4,5,9,26,0,0,46, ,,  ,,,Dr.,Karen,Hobbs,Director,Coeducational,Day Only,6,12,Yes,10,25,20,2,1,No,No,No,Yes,Non-religious,,Yes,Dr.,Shary,Nunan,1231 Solano Avenue,Albany,CA,94706,1snunan@gmail.com
80886,Alameda,Union City Christian School,New Haven Unified,01612427088743,510,489,0394,33700 Alvarado Niles Road,Union City,CA,94587,hollyc1028@yahoo.com,10,9,5,6,5,5,4,2,1,5,3,1,4,0,0,60,33700 Alvarado Niles Road,Union City,CA,94587,,Mr.,Adam ,Lopez III,Administrator,Coeducational,Day Only,K,12,Yes,1,5,1,2,2,No,No,No,Yes,Religious,APOS,No,Mrs.,Holly ,Cedillo,33700 Alvarado Niles Road,Union City,CA,94587,hollyc1028@yahoo.com
73512,Alameda,Valley Christian Elementary School,Dublin Unified,01750936972657,925,560,6270,7500 Inspiration Drive,Dublin,CA,94568,vces@dublinvcc.org,43,74,60,58,66,59,55,0,0,0,0,0,0,0,0,415, ,,,,Christian Center School,Miss,Jeri,Schall,Principal,Coeducational,Day Only,K,6,No,0,27,2,1,20,Yes,No,No,No,Religious,Other,No,Miss,Jeri,Schall,7500 Inspiration Drive,Dublin,CA,94568,jschall@dublinvcc.org
80137,Alameda,Valley Christian Junior / Senior High School,Dublin Unified,01750936933170,925,560,6240,7500 Inspiration Drive,Dublin,CA,94568,acoackley@dublinvcc.org,0,0,0,0,0,0,0,67,81,78,70,81,74,0,0,451, ,,,,,Mr.,John,Moran,Superintendent,Coeducational,Day Only,7,12,Yes,65,30,6,3,8,Yes,No,No,No,Religious,AG,No,Mrs.,Rene,Snyder,7500 Inspiration Drive,Dublin,CA,94568,rsnyder@dublinvcc.org
77853,Alameda,Via Center,Berkeley Unified,01611437045552,510,848,1616,2126 Sixth Street,Berkeley,CA,94710,viacenter@viacenter.org,0,0,0,0,0,0,0,0,0,0,0,0,0,2,19,21, ,,,,,Ms.,Angela,Mcgee,Administrator,Coeducational,Day Only,1,12,No,1,2,0,2,20,Yes,No,No,No,Non-religious,,Yes,Ms.,Angela,McGee,2126 Sixth Street,Berkeley,CA,94710,Angela_Mcgee@comcast.net
82263,Alameda,Vine and Branches Christian Schools,Livermore Valley Joint Unified,01612006203277,925,321,6828,4303 East Avenue,Livermore,CA,94550,vbcs-john15.5@comcast.net,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7, ,,,,,Mrs.,Korynn,Philpott,Head of School,Coeducational,Day Only,1,12,Yes,1,3,0,1,0,No,No,No,Yes,Non-religious,,No,Mrs.,Korynn,Philpott,4303 East Avenue,Livermore,CA,94550,
74878,Alameda,Vita Academy,Castro Valley Unified,01611506205512,510,728,4346,17524 Kingston Way,Castro Valley,CA,94546,,0,5,1,3,2,0,6,0,0,0,0,0,0,0,0,17, ,,,,,Mrs.,Therese,Hayes,Other,Coeducational,Day Only,1,6,No,0,12,2,0,0,No,No,No,Yes,Religious,NA,No,Mrs.,Anna,Najarian,17524 Kingston Way,Castro Valley,CA,94546,DNANAJ@comcast.net
79987,Alameda,Walden Center and School,Berkeley Unified,01611436994651,510,841,7248,2446 McKinley Avenue,Berkeley,CA,94703,claudineswickard@hotmail.com,9,17,10,10,13,9,3,0,0,0,0,0,0,0,0,71, ,,,,,Ms.,Claudine,Swickard,Administrator,Coeducational,Day Only,K,6,No,0,6,2,1,3,Yes,No,Yes,No,Non-religious,,No,Ms.,Claudine,Swickard,2446 McKinley Avenue,Berkeley,CA,94703,claudineswickard@hotmail.com
77257,Alameda,West-Wind Academy,Berkeley Unified,01611436134498,510,841,1426,1551 University Avenue,Berkeley,CA,94703,info@westwindschools.org,0,1,4,1,2,2,3,4,2,0,3,3,0,0,0,25, ,,,,,Mrs.,Kathleen,Amann-Weitzer,Other,Coeducational,Day Only,1,12,Yes,0,5,2,0,0,No,No,No,Yes,Non-religious,,No,Mrs.,Kathleen,Amann-Weitzer,1551 University Avenue,Berkeley,CA,94703,chiefinstructor@yahoo.com
84497,Alameda,Zion Lutheran,Piedmont City Unified,01612756973135,510,530,7909,5201 Park Boulevard,Piedmont,CA,94611,jheinitz@zionlutheran.net,12,12,9,12,10,20,19,24,22,0,0,0,0,0,0,140, ,,  ,,,Mr.,John ,Heinitz,Principal,Coeducational,Day Only,K,8,No,0,10,2,1,1,Yes,No,No,No,Religious,LUTH,No,Mr.,John,Heinitz,5201 Park Boulevard,Piedmont,CA,94611,office@zionlutheran.net
84214,Amador,Community Christian Schools,Amador County Unified,03739816910335,209,296,7773,14045 Ponderosa Way,Pine Grove,CA,95665,ccs@volcano.net,8,7,10,8,6,8,8,5,3,0,0,0,0,0,0,63, ,,,,,Mrs.,Beverly ,Goodman,Administrator,Coeducational,Day Only,K,8,No,0,5,3,1,2,Yes,No,No,No,Religious,EVAN,No,Mrs.,Lynne,Adams,14045 Ponderosa Way,Pine Grove,CA,95665,
77277,Amador,Sutter Hill Seventh-day Adventist,Amador County Unified,03739816983357,209,267,5849,12900 Ridge Road,Sutter Creek,CA,95685,lwebster@softcom.net,0,0,0,1,2,1,0,1,2,0,0,0,0,0,0,7, ,,,,,Mrs.,Lynnae,Webster,Principal,Coeducational,Day Only,1,8,No,0,1,0,0,0,Yes,No,No,No,Religious,SDA,No,Mrs.,Berit,von Pohle,401 Taylor Boulevard,Pleasant Hill,CA,94523,bvonpohle@nccsda.com
79954,Butte,American Christian Academy,Chico Unified,04614247082878,530,896,1150,13 San Ramon Drive,Chico,CA,95973,,0,11,5,16,12,12,11,14,6,17,4,14,6,0,0,128, ,,,,,Mrs.,Julie,Clark,Administrator,Coeducational,Day Only,1,12,Yes,11,64,0,0,0,Yes,No,No,No,,,No,Mr.,Marc,Winegarden,2276 Balls Ferry Road,Anderson,CA,96007,
77472,Butte,Amy Carmichael Christian Academy,Oroville City Elementary,04615077082886,530,532,4214,1309 Tehama Avenue,Oroville,CA,95965,,0,1,2,0,0,2,0,2,1,1,1,1,0,0,0,11, ,,,,,Mr.,Patrick,Finn,Principal,Coeducational,Day Only,1,12,No,1,2,2,1,1,No,No,No,Yes,Religious,NA,No,Mrs.,Penny,Finn,1309 Tehama Avenue,Oroville,CA,95965,
75795,Butte,Champion Christian,Chico Unified,04614247080294,530,345,8008,1184 East Avenue,Chico,CA,95926,office@championcs.org,0,0,0,0,0,0,0,7,12,19,31,20,23,0,0,112, ,,,,,Mr.,Richard,Stout,Other,Coeducational,Day Only,7,12,Yes,21,6,10,1,3,Yes,No,No,No,Religious,INTD,No,Ms.,Catherine,Sweetman,1184 East Avenue,Chico,CA,95926,mrssweetman@championcs.org
73236,Butte,Chico Christian,Chico Unified,04614246973168,530,879,8989,2801 Notre Dame Boulevard,Chico,CA,95928,bevlanders@ncchico.org,41,46,46,47,40,43,33,24,12,0,0,0,0,0,0,332, ,,,,,Mrs.,Beverly,Landers,Principal,Coeducational,Day Only,K,8,No,0,18,8,1,4,Yes,No,No,No,Religious,EVAN,No,Mrs.,Sharon,Sullivan,2801 Notre Dame Boulevard,Chico,CA,95928,sharonsullivan@ncchico.org
76053,Butte,Chico Oaks Adventist School,Chico Unified,04614247034820,530,342,5043,1859 Hooker Oak Avenue,Chico,CA,95926,mr.nelson@chicooaks.gaggle.net,11,11,6,11,8,7,11,7,6,0,0,0,0,0,0,78, ,,,,,Mr.,Rick,Nelson,Principal,Coeducational,Day Only,K,8,No,0,4,2,0,3,Yes,No,No,No,Religious,SDA,No,Mrs.,Berit,von Pohle,401 Taylor Boulevard,Pleasant Hill,CA,94523,bvonpohle@nccsda.com
83284,Butte,Cold River Academy,Paradise Unified,04615316204036,530,873,6192,14173 Wingate Circle,Magalia,CA,95954,coldriveracademy@pacbell.net,0,0,0,0,0,0,0,0,0,0,0,0,0,46,23,69, ,,,,,Mrs.,Jeanette,Dowell,Administrator,Coeducational,Day Only,1,12,Yes,6,28,0,1,0,No,No,No,Yes,Non-religious,,No,Mrs.,Jeanette,Dowell,14173 Wingate Circle,Magalia,CA,95954,coldriveracademy@pacbell.net
74653,Butte,Cornerstone Christian School,Paradise Unified,04615316132948,530,877,3240,6500 Clark Road,Paradise,CA,95969,rhondawebb@fbcparadise.org,4,5,8,3,1,6,0,0,0,0,0,0,0,0,0,27, ,,,,,Mrs.,Robin,Tygart,Principal,Coeducational,Day Only,K,6,No,0,4,0,0,2,Yes,Yes,No,No,,,No,Mrs.,Rhonda ,Webb,6500 Clark Road,Paradise,CA,95969,RhondaWebb@fbcparadise.org
76441,Butte,Feather River Adventist,Palermo Union,04615236973887,530,533,8848,27 Cox Lane,Oroville,CA,95965,whitneyjmw@yahoo.com,0,3,2,5,3,0,2,2,1,0,0,0,0,0,0,18, ,,,,,Mr.,Marvin,Whitney,Principal,Coeducational,Day Only,1,8,No,0,2,0,0,1,Yes,No,No,No,Religious,SDA,No,Mrs.,Berit,von Pohle,401 Taylor Boulevard,Pleasant Hill,CA,94523,bvonpohle@nccsda.com
82133,Butte,Golden Adventure Bible,Oroville City Elementary,04615076134126,530,533,0732,1949 Kusel Road,Oroville,CA,95966,clbamford47@gmail.com,0,0,1,0,1,0,0,2,0,1,0,0,1,0,0,6, ,,,,,Mrs.,Christina ,Bamford,Administrator,Coeducational,Day Only,K,12,Yes,0,1,1,2,0,No,No,No,Yes,Religious,NA,No,Mrs.,Christina,Bamford,1949 Kusel Road,Oroville,CA,95966,clbamford47@gmail.com
85069,Butte,International Christian School,Chico Unified,04614247083439,530,893,5619,15850 Richardson Springs Road,Chico,CA,95973,icschico@gmail.com,1,2,4,1,2,2,2,2,0,3,1,0,0,0,0,20, ,,,,,Mr.,T. Dale,Harrison,Director,Coeducational,Day Only,K,12,Yes,0,3,1,1,2,No,No,No,Yes,Religious,INTD,No,Mrs.,Ginger,Bansen,15850 RIchardson Springs Road,Chico,CA,95973,icschico@gmail.com
76667,Butte,Magalia Adventist School,Paradise Unified,04615317094923,530,873,9168,15204 Skyway ,Magalia,CA,95954,leisabuller@hotmail.com,0,0,1,0,1,2,0,2,3,0,0,0,0,0,0,9,P.O. Box 998,Magalia,CA,95954,,Ms.,Leisa,Buller,Principal,Coeducational,Day Only,1,8,No,0,1,0,0,0,Yes,No,No,No,Religious,SDA,No,Mrs.,Berit,von Pohle,401 Taylor Boulevard,Pleasant Hill,CA,94523,bvonpohle@nccsda.com
84545,Butte,Maranatha Christian School,Bangor Union Elementary,04613826133458,530,679,0411,75 Los Verjeles ,Bangor,CA,95914,,0,1,0,1,0,2,0,1,2,0,0,0,0,0,2,9, ,,,,,Mr.,Jonah,Avina,Other,Coeducational,Day Only,1,8,No,0,1,0,1,2,No,No,No,Yes,Religious,MENN,No,Mr.,Jonah,Avina,75 Los Verjeles ,Bangor,CA,95914,
75081,Butte,Montessori Elementary School of Chico,Chico Unified,04614247057631,530,343,4308,3105 The Esplanade ,Chico,CA,95973,chicomontessori@gmail.com,8,9,5,0,7,2,4,2,0,0,0,0,0,0,0,37, ,,,,,Mrs.,Heather,Fisher,Director,Coeducational,Day Only,K,7,No,0,2,2,2,5,Yes,No,No,No,,,No,Mr.,Steven,Duke,3105 The Esplanade ,Chico,CA,95973,chicomontessori@gmail.com
85702,Butte,Notre Dame School,Chico Unified,04614246967582,530,342,2502,435 Hazel Street,Chico,CA,95928,cfreitas@ndschico.org,29,19,25,18,22,28,30,15,19,0,0,0,0,0,0,205, ,,,,,Mr.,Mike,Garcia,Principal,Coeducational,Day Only,K,8,No,0,9,2,1,15,Yes,No,No,No,Religious,CATH,No,Mr.,Mike,Garcia,435 Hazel Street,Chico ,CA,95928,cfreitas@ndschico.org
74888,Butte,Oroville Christian School,Oroville City Elementary,04615076906598,530,533,2888,3785 Olive Highway,Oroville,CA,95966,office@ocseagles.com,17,14,8,12,19,7,11,12,4,1,1,0,0,0,0,106, ,,,,,Mr.,Thomas,Hammonds,Principal,Coeducational,Day Only,K,12,No,1,5,1,1,7,Yes,No,Yes,No,Religious,EVAN,No,Mrs.,Michele,Jones,132 Valley View Drive,Oroville,CA,95966,office@ocseagles.com
76816,Butte,Paradise Adventist Academy,Paradise Unified,04615316973903,530,877,6540,5699 Academy Drive,Paradise,CA,95969,prestonpaa@comcast.net,10,18,5,14,7,10,13,19,21,24,23,19,17,0,0,200,P.O. Box 2169,Paradise,CA,95967,,Mr.,Ken,Preston,Principal,Coeducational,Day Only,K,12,Yes,12,12,2,3,4,Yes,No,No,No,Religious,SDA,No,Mrs.,Berit,von Pohle,401 Taylor Boulevard,Pleasant Hill,CA,94523,bvonpohle@nccsda.com
77938,Butte,Pines Christian Academy,Paradise Unified,04615317095177,530,873,1412,14098 Skyway,Magalia,CA,95954,martin@magaliapines.org,1,0,2,0,0,0,3,7,1,1,7,1,0,0,0,23, ,,,,Pines Academy,Mr.,Doug ,Crowder,Administrator,Coeducational,Day Only,K,12,No,8,1,1,1,3,Yes,No,No,No,Religious,BAPT,No,Mr.,Martin,Glasenapp,14098 Skyway,Magalia,CA,95954,martin@magaliapines.org
76773,Butte,Pleasant Valley Baptist School,Chico Unified,04614247082480,530,343,2949,13539 Garner Lane,Chico,CA,95973,missa@digitalpath.net,6,5,0,4,3,2,2,1,2,6,5,6,4,0,0,46, ,,,,,Mr.,Gabriel,Ruhl,Administrator,Coeducational,Day Only,K,12,Yes,8,6,3,1,1,Yes,Yes,No,No,Religious,BAPT,No,Miss,Candice,Alvis,13539 Garner Lane,Chico,CA,95973,missa@digitalpath.net
84199,Butte,"Progressive Schoolhouse, The",Chico Unified,04614247043482,530,345,5665,2400 Notre Dame Boulevard,Chico,CA,95928,tennant.lori@gmail.com,1,3,2,2,4,0,6,1,2,1,1,0,1,0,0,24, ,,,,,Ms.,Lori,Tennant,Administrator,Coeducational,Day Only,K,12,Yes,0,2,0,1,1,No,No,No,Yes,Non-religious,,No,Ms.,Lori,Tennant,2400 Notre Dame Boulevard,Chico,CA,95928,tennant.lori@gmail.com
82501,Butte,Promise Academy,Paradise Unified,04615316933204,530,872,9029,1573 Bille Road,Paradise,CA,95969,admin@promiseacademyparadise.org,0,0,1,0,3,2,0,3,3,3,2,1,4,0,0,22,P.O. Box 115 ,Paradise,CA,95967,Lighthouse Christian School,Mr.,Richard,Zuris,Administrator,Coeducational,Day Only,K,12,Yes,2,2,0,1,2,Yes,No,No,No,Religious,FSG,No,Ms.,Anna,Stebbins,P.O. Box 115 ,Paradise,CA,95967,admin@promiseacademyparadise.org
82240,Butte,"Rose Scott Learning Community, Inc.",Chico Unified,04614246136410,530,354,3101,850 Palmetto Drive,Chico,CA,95926,rosescottschool@gmail.com,0,0,1,1,2,0,1,1,0,2,1,1,1,0,0,11, ,,,,,Ms.,Cindy ,Carlson,Director,Coeducational,Day Only,1,12,No,0,0,2,1,0,No,No,No,Yes,Non-religious,,No,Ms.,Cindy,Carlson,850 Palmetto Avenue,Chico,CA,95926,rosescottschool@gmail.com
79297,Butte,St. Thomas the Apostle,Oroville City Elementary,04615076926109,530,534,6969,1380 Street,Oroville,CA,95965,jbriggs@stthomas-oroville.com,5,10,4,13,8,8,8,11,7,0,0,0,0,0,0,74, ,,,,,Mrs.,Joan,Briggs,Principal,Coeducational,Day Only,K,8,No,0,5,1,1,3,Yes,Yes,Yes,No,Religious,CATH,No,Mrs.,Joan,Briggs,1380 Bird Street,Oroville,CA,95965,jbriggs@stthomas-oroville.com
72850,Butte,Youth for Change Educational Services,Paradise Unified,04615317088081,530,872,2103,7204 Skyway ,Paradise,CA,95969,mrichmond@youth4change.org,0,0,0,1,0,3,3,1,2,4,1,0,2,0,0,17,P.O. Box 1476,Paradise,CA,95967,,Mr.,Marc,Richmond,Administrator,Coeducational,Day Only,1,12,No,2,2,1,2,11,Yes,No,No,No,Non-religious,,Yes,Mr.,Marc,Richmond,P.O. Box 1476,Paradise,CA,95967,mrichmond@youth4change.org
81990,Butte,Zanella Academy,Chico Unified,04614247103864,530,342,4968,"2555 Zanella Way, Suite B",Chico,CA,95928,gphamilton@aol.com,1,0,1,0,3,0,1,0,0,0,0,0,1,0,0,7, ,,,,,Mr.,Michael,Coogan,Administrator,Coeducational,Day Only,K,12,Yes,1,3,3,2,0,No,No,No,Yes,Non-religious,,No,Mr.,Gary,Hamilton,"2555 Zanella Way, Suite B",Chico,CA,95928,gphamilton@aol.com
72886,Calaveras,Christian Family Learning Center,Mark Twain Union Elementary,05615727078538,209,736,1175,3710 Whittle Road ,Angels Camp,CA,95222,www/cflcschool.org,9,12,13,9,9,18,18,12,12,0,0,0,0,0,0,112,P.O. Box 880 ,Angels Camp,CA,95222,,Mr.,Lawrence,Smith,Principal,Coeducational,Day Only,K,8,No,0,8,6,1,1,Yes,Yes,Yes,No,Religious,NA,No,Mrs.,Anna,Collier,3710 Whittle Road,Angels Camp,CA,95222,acollier@cflcschool.org
80150,Calaveras,Christian Heritage Academy,Vallecito,05615807105059,209,736,6394,3900 Highway 4,Vallecito,CA,95251,markrush@goldrush.com,0,0,0,0,0,1,1,1,1,1,2,1,0,0,0,8,P.O. Box 67,Vallecito,CA,95251,,Mr.,Mark,Rushdoony,President,Coeducational,Day Only,K,12,Yes,0,1,0,1,2,Yes,No,No,No,Religious,NA,No,Mrs.,Darlene,Rushdoony,3900 Highway 4 ,Vallecito,CA,95251,markrush@goldrush.com
72397,Calaveras,Kingsway Learning Center,Calaveras Unified,05615646138606,209,754,1650,8403 East Murray Creek Road,Mountain Ranch,CA,95246,litehouse113@yahool.com,0,0,1,4,6,1,3,0,0,1,1,1,0,0,0,18,P.O. Box 7 ,Mountain Ranch ,CA,95246,,Rev.,Alvin,Hass,Administrator,Coeducational,Day Only,2,12,Yes,0,3,2,2,9,Yes,No,No,No,Religious,INTD,No,Rev.,Alvin,Hass,4624 Railroad Flat Road,Mountain Ranch,CA,95246,litehouse113@yahoo.com
83244,Calaveras,Zion Preparatory School,Calaveras Unified,05615646135586,209,772,0462,2395 Heney Lane,Valley Springs,CA,95252,,2,0,1,0,0,2,0,2,2,0,1,1,0,0,0,11,P.O. Box 946,Valley Springs,CA,95252,,Dr.,Ace,Elias,Headmaster,Coeducational,Day Only,K,12,No,0,1,0,0,0,No,No,No,Yes,Non-religious,,No,Dr.,Ace,Elias,P.O. Box 946,Valley Springs,CA,95252,
84919,Colusa,Charity Baptist Academy,Colusa Unified,06615986205793,530,455,5155,2150 Wescott Road,Colusa,CA,95932,bwilliams@charitybaptistcolusa.org,1,2,1,0,3,1,2,1,2,2,2,0,1,0,0,18, ,,,,,Mr.,Justin,Soto,Administrator,Coeducational,Day Only,K,12,Yes,0,0,2,1,4,Yes,No,No,No,Religious,BAPT,No,Mr.,Beecher,Williams,2150 Wescott Road,Colusa,CA,95932,beechnliz@yahoo.com
73765,Colusa,Our Lady of Lourdes Parish,Colusa Unified,06615986905780,530,458,8208,741 Ware Avenue,Colusa,CA,95932,theollschool.org,12,21,13,10,7,12,9,8,5,0,0,0,0,0,0,97, ,,,,,Mrs.,Barbara,Genera,Principal,Coeducational,Day Only,K,9,No,0,6,1,1,5,No,No,No,Yes,Religious,EVAN,No,Mrs.,Darlene,Warner,741 Ware Avenue,Colusa,CA,95932,dwarneroll@frontiernet.net
82420,Contra Costa,A Better Chance / California Autism Foundation,West Contra Costa Unified,07617967100456,510,262,1500,4138 Lakeside Drive,Richmond,CA,94806,lmothersell@calautism.org,0,2,0,1,0,2,6,2,1,5,0,1,13,14,19,66, ,,,,,Ms.,Marla,Williams,Administrator,Coeducational,Day Only,1,12,No,4,4,0,1,27,Yes,No,No,No,Non-religious,,Yes,Ms.,Lori,Mothersell,4138 Lakeside Drive,Richmond,CA,94806,
81383,Contra Costa,Above and Beyond Academy,Mt. Diablo Unified,07617546134183,925,261,1755,68 Amador Court,Bay Point,CA,94565-3337,,3,4,2,3,5,2,7,2,2,4,2,2,2,0,0,40, ,,,,,Mrs.,Betty,Riddick,Administrator,Coeducational,Day Only,K,12,Yes,1,1,0,1,0,No,No,No,Yes,Religious,NA,No,Mrs.,Betty,Riddick,68 Amador Court,Bay Point,CA,94565,
80223,Contra Costa,American Christian Academy - Ext,Mt. Diablo Unified,07617547081565,925,672,7599,1245 Easley Drive,Clayton,CA,94517,,0,1,1,0,0,0,0,2,0,4,3,4,3,0,0,18, ,,,,,Mr.,Kris,Van Liew,Administrator,Coeducational,Day Only,1,12,Yes,2,9,0,0,0,Yes,No,No,No,,,No,Mr.,Marc,Winegarden,2276 Balls Ferry Road,Anderson,CA,96007,
77969,Contra Costa,Arlington Christian School,West Contra Costa Unified,07617967077894,510,233,2556,6382 Arlington Boulevard,Richmond,CA,94805,david4cal@yahoo.com,2,4,4,1,3,8,3,5,9,6,4,4,4,0,0,57, ,,,,,Dr.,Mike,Callaghan,Administrator,Coeducational,Day Only,K,12,Yes,3,4,3,2,3,Yes,No,No,No,Religious,BAPT,No,Mr.,David,Callaghan,1700 Elm Avenue,Richmond,CA,94805,david4cal@yahoo.com
75003,Contra Costa,Athenian,San Ramon Valley Unified,07618046933329,925,837,5375,2100 Mt. Diablo Scenic Boulevard,Danville,CA,94506-2002,dderana@athenian.org,0,0,0,0,0,0,55,50,53,74,73,78,76,0,0,459, ,,,,,Mr.,Eric,Niles,Head of School,Coeducational,Both,6,12,No,72,61,12,13,15,Yes,No,No,No,Non-religious,,No,Mrs.,Jenelle,Espino,2100 Mt. Diablo Scenic Boulevard,Danville,CA,94506-2002,jenelle.espino@athenian.org
